invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I102725,C385326,Female,54,Toys,5,179.2,Cash,16-09-2022,Metrocity
I102726,C444281,Female,66,Clothing,2,600.16,Credit Card,08-01-2023,Cevahir AVM
I102729,C216936,Female,44,Clothing,1,300.08,Credit Card,03-01-2021,Metrocity
I102730,C181990,Male,57,Technology,4,4200.0,Cash,11-07-2022,Mall of Istanbul
I102732,C719232,Male,50,Clothing,5,1500.4,Cash,24-09-2021,Zorlu Center
I102734,C134006,Female,48,Clothing,5,1500.4,Debit Card,08-06-2021,Metrocity
I102735,C662013,Female,55,Shoes,4,2400.68,Debit Card,22-02-2023,Zorlu Center
I102737,C112982,Female,68,Technology,3,3150.0,Cash,09-08-2022,Mall of Istanbul
I102751,C224224,Female,67,Technology,2,2100.0,Credit Card,28-09-2022,Metrocity
I102754,C760072,Female,58,Shoes,2,1200.34,Cash,13-09-2021,Emaar Square Mall
I102758,C778349,Female,35,Food & Beverage,1,5.23,Cash,01-12-2022,Metropol AVM
I102759,C174415,Female,28,Clothing,2,600.16,Credit Card,26-03-2022,Mall of Istanbul
I102760,C158547,Female,64,Food & Beverage,1,5.23,Credit Card,02-09-2021,Viaport Outlet
I102761,C333330,Female,23,Cosmetics,1,40.66,Cash,19-03-2021,Mall of Istanbul
I102764,C102832,Female,41,Clothing,3,900.24,Credit Card,19-08-2022,Metropol AVM
I102766,C200431,Male,40,Books,2,30.3,Debit Card,07-01-2021,Emaar Square Mall
I102767,C203666,Female,20,Cosmetics,5,203.3,Credit Card,07-01-2022,Viaport Outlet
I102773,C287506,Female,35,Cosmetics,1,40.66,Credit Card,05-01-2023,Kanyon
I102776,C214209,Female,22,Clothing,4,1200.32,Cash,06-11-2021,Metrocity
I102782,C105352,Female,51,Souvenir,5,58.65,Cash,01-11-2021,Mall of Istanbul
I102783,C816576,Female,56,Food & Beverage,1,5.23,Cash,05-02-2023,Istinye Park
I102786,C969271,Female,35,Clothing,2,600.16,Cash,29-06-2022,Emaar Square Mall
I102790,C193288,Female,21,Clothing,5,1500.4,Debit Card,20-07-2022,Cevahir AVM
I102792,C766287,Male,35,Souvenir,1,11.73,Credit Card,17-07-2022,Kanyon
I102797,C129206,Male,52,Cosmetics,2,81.32,Credit Card,12-01-2023,Mall of Istanbul
I102799,C704920,Male,33,Shoes,5,3000.85,Debit Card,20-04-2021,Viaport Outlet
I102800,C211156,Female,40,Shoes,1,600.17,Credit Card,02-01-2022,Viaport Outlet
I102801,C288748,Female,69,Clothing,1,300.08,Credit Card,01-05-2022,Metrocity
I102802,C107887,Female,22,Souvenir,3,35.19,Debit Card,24-07-2021,Zorlu Center
I102818,C156505,Male,57,Toys,1,35.84,Credit Card,12-01-2021,Emaar Square Mall
I102819,C309720,Male,53,Food & Beverage,2,10.46,Cash,26-10-2022,Zorlu Center
I102824,C194938,Male,27,Clothing,5,1500.4,Debit Card,12-11-2022,Istinye Park
I102825,C150885,Female,65,Clothing,4,1200.32,Cash,01-09-2022,Metrocity
I102832,C146777,Female,40,Shoes,2,1200.34,Cash,20-06-2022,Istinye Park
I102836,C279148,Male,64,Books,3,45.45,Debit Card,07-03-2022,Mall of Istanbul
I102837,C320088,Female,21,Clothing,3,900.24,Cash,27-11-2021,Kanyon
I102840,C161257,Female,39,Toys,4,143.36,Debit Card,27-05-2021,Metropol AVM
I102843,C235737,Female,48,Food & Beverage,5,26.15,Cash,01-11-2021,Metrocity
I102845,C175442,Female,41,Souvenir,4,46.92,Cash,05-03-2023,Metrocity
I102847,C123536,Male,51,Souvenir,3,35.19,Debit Card,09-03-2022,Kanyon
I102848,C252901,Female,59,Shoes,1,600.17,Debit Card,13-01-2021,Kanyon
I102849,C251633,Female,69,Clothing,4,1200.32,Credit Card,04-03-2021,Mall of Istanbul
I102855,C159521,Female,19,Clothing,2,600.16,Cash,15-10-2022,Istinye Park
I102873,C994454,Female,25,Toys,4,143.36,Credit Card,24-08-2022,Mall of Istanbul
I102876,C283599,Female,18,Cosmetics,3,121.98,Credit Card,27-02-2023,Mall of Istanbul
I102877,C505213,Female,29,Toys,4,143.36,Cash,25-11-2022,Metropol AVM
I102879,C380202,Female,26,Food & Beverage,4,20.92,Debit Card,03-09-2022,Cevahir AVM
I102881,C482255,Female,50,Clothing,2,600.16,Cash,21-09-2021,Mall of Istanbul
I102883,C114509,Female,22,Food & Beverage,5,26.15,Cash,08-10-2021,Kanyon
I102884,C121907,Female,45,Toys,5,179.2,Credit Card,22-03-2021,Metrocity
I102885,C216254,Male,42,Food & Beverage,5,26.15,Cash,22-08-2022,Kanyon
I102886,C896170,Female,60,Clothing,1,300.08,Credit Card,07-07-2022,Forum Istanbul
I102893,C264654,Male,66,Cosmetics,5,203.3,Credit Card,03-08-2022,Kanyon
I102902,C603291,Male,58,Toys,1,35.84,Cash,28-11-2022,Viaport Outlet
I102905,C318145,Female,42,Food & Beverage,5,26.15,Credit Card,07-11-2021,Kanyon
I102906,C219499,Female,20,Toys,3,107.52,Cash,16-10-2021,Kanyon
I102917,C262929,Male,59,Clothing,3,900.24,Debit Card,02-04-2021,Metrocity
I102923,C148421,Male,63,Toys,4,143.36,Debit Card,21-09-2022,Metropol AVM
I102925,C217020,Female,27,Cosmetics,5,203.3,Credit Card,13-01-2023,Metrocity
I102926,C319883,Female,60,Food & Beverage,1,5.23,Cash,06-08-2022,Cevahir AVM
I102928,C211300,Male,60,Cosmetics,1,40.66,Credit Card,04-03-2021,Mall of Istanbul
I102931,C318182,Male,26,Shoes,5,3000.85,Debit Card,18-05-2022,Mall of Istanbul
I102935,C184509,Female,59,Cosmetics,1,40.66,Cash,16-06-2021,Mall of Istanbul
I102939,C100110,Female,28,Clothing,5,1500.4,Credit Card,01-05-2022,Metrocity
I102941,C189039,Female,45,Cosmetics,2,81.32,Cash,14-05-2022,Metrocity
I102944,C105025,Male,33,Cosmetics,2,81.32,Cash,03-12-2021,Forum Istanbul
I102945,C287896,Female,34,Clothing,1,300.08,Cash,25-06-2022,Metrocity
I102946,C182144,Female,62,Clothing,3,900.24,Cash,30-11-2022,Viaport Outlet
I102954,C155342,Male,30,Food & Beverage,4,20.92,Cash,06-02-2021,Mall of Istanbul
I102958,C332958,Female,54,Clothing,3,900.24,Credit Card,02-11-2022,Istinye Park
I102960,C131004,Female,34,Technology,3,3150.0,Credit Card,25-01-2021,Mall of Istanbul
I102964,C321846,Female,69,Shoes,2,1200.34,Cash,23-04-2021,Viaport Outlet
I102969,C166525,Female,62,Cosmetics,2,81.32,Debit Card,17-04-2021,Mall of Istanbul
I102977,C316330,Female,30,Souvenir,4,46.92,Credit Card,30-10-2022,Metropol AVM
I102979,C628682,Female,35,Souvenir,3,35.19,Credit Card,23-01-2022,Mall of Istanbul
I102985,C191792,Male,42,Souvenir,2,23.46,Debit Card,01-06-2021,Mall of Istanbul
I102989,C273531,Female,67,Shoes,2,1200.34,Cash,01-03-2021,Cevahir AVM
I102990,C296573,Male,22,Shoes,5,3000.85,Credit Card,20-07-2022,Kanyon
I102991,C397967,Female,28,Books,3,45.45,Credit Card,12-10-2021,Metrocity
I102993,C142692,Female,67,Clothing,2,600.16,Credit Card,21-11-2022,Forum Istanbul
I102994,C262644,Female,69,Shoes,3,1800.51,Debit Card,11-01-2022,Mall of Istanbul
I102999,C295992,Male,34,Toys,3,107.52,Credit Card,17-08-2021,Metrocity
I103002,C245635,Female,62,Food & Beverage,2,10.46,Credit Card,03-07-2021,Viaport Outlet
I103004,C560575,Male,33,Food & Beverage,1,5.23,Cash,04-02-2022,Metropol AVM
I103006,C258085,Male,41,Technology,4,4200.0,Cash,20-07-2022,Cevahir AVM
I103010,C260917,Female,51,Shoes,1,600.17,Cash,02-08-2021,Metrocity
I103014,C185481,Female,57,Clothing,4,1200.32,Debit Card,03-07-2022,Istinye Park
I103016,C633152,Female,60,Clothing,4,1200.32,Credit Card,12-07-2021,Forum Istanbul
I103019,C335724,Male,60,Shoes,2,1200.34,Cash,14-10-2022,Forum Istanbul
I103020,C327792,Female,27,Books,4,60.6,Cash,17-06-2021,Mall of Istanbul
I103021,C325728,Male,36,Books,1,15.15,Debit Card,25-02-2023,Mall of Istanbul
I103026,C142823,Female,64,Shoes,1,600.17,Cash,21-10-2021,Viaport Outlet
I103028,C243168,Female,22,Toys,4,143.36,Credit Card,24-08-2021,Zorlu Center
I103029,C213516,Female,18,Toys,5,179.2,Cash,21-06-2021,Mall of Istanbul
I103031,C228178,Female,55,Toys,5,179.2,Cash,17-09-2021,Kanyon
I103032,C317778,Male,65,Clothing,2,600.16,Debit Card,06-09-2022,Kanyon
I103033,C960822,Female,38,Technology,2,2100.0,Debit Card,14-09-2021,Zorlu Center
I103035,C155712,Male,21,Clothing,5,1500.4,Debit Card,29-08-2021,Metrocity
I103036,C992589,Female,39,Cosmetics,2,81.32,Cash,18-08-2022,Istinye Park
I103044,C367741,Female,48,Clothing,5,1500.4,Cash,13-06-2021,Viaport Outlet
I103045,C267316,Female,62,Shoes,1,600.17,Cash,24-08-2022,Metrocity
I103046,C208145,Female,33,Food & Beverage,1,5.23,Credit Card,26-01-2021,Emaar Square Mall
I103055,C315737,Male,44,Cosmetics,4,162.64,Credit Card,17-07-2022,Metrocity
I103056,C258161,Male,34,Food & Beverage,4,20.92,Credit Card,18-05-2022,Mall of Istanbul
I103059,C264391,Female,67,Cosmetics,1,40.66,Debit Card,20-06-2022,Metrocity
I103061,C603549,Female,41,Clothing,2,600.16,Cash,17-01-2021,Mall of Istanbul
I103062,C232094,Female,53,Food & Beverage,5,26.15,Credit Card,11-02-2023,Kanyon
I103064,C274479,Female,36,Toys,2,71.68,Cash,04-03-2023,Metrocity
I103065,C205710,Male,31,Books,2,30.3,Credit Card,14-03-2021,Mall of Istanbul
I103066,C340003,Male,66,Clothing,1,300.08,Cash,11-08-2021,Mall of Istanbul
I103067,C210847,Male,22,Toys,3,107.52,Debit Card,25-11-2021,Kanyon
I103068,C115494,Male,69,Clothing,2,600.16,Debit Card,21-03-2021,Kanyon
I103070,C754112,Male,19,Cosmetics,2,81.32,Cash,31-12-2021,Kanyon
I103071,C243412,Male,26,Food & Beverage,5,26.15,Cash,09-12-2022,Mall of Istanbul
I103072,C170969,Male,20,Cosmetics,4,162.64,Cash,04-04-2022,Forum Istanbul
I103076,C288406,Female,24,Clothing,4,1200.32,Debit Card,10-09-2021,Viaport Outlet
I103081,C119424,Female,68,Food & Beverage,2,10.46,Cash,27-07-2022,Mall of Istanbul
I103082,C286580,Female,33,Books,3,45.45,Credit Card,12-10-2022,Metrocity
I103083,C936888,Female,48,Cosmetics,4,162.64,Cash,15-02-2022,Istinye Park
I103085,C252697,Female,27,Clothing,2,600.16,Credit Card,27-08-2022,Kanyon
I103086,C285452,Female,52,Cosmetics,4,162.64,Cash,17-08-2022,Metrocity
I103092,C207003,Male,32,Books,4,60.6,Credit Card,13-05-2021,Zorlu Center
I103096,C199902,Female,45,Food & Beverage,2,10.46,Cash,19-01-2023,Metrocity
I103100,C274266,Male,21,Cosmetics,3,121.98,Credit Card,15-12-2022,Mall of Istanbul
I103101,C733099,Male,47,Clothing,5,1500.4,Cash,26-09-2021,Istinye Park
I103102,C284129,Female,54,Food & Beverage,4,20.92,Credit Card,26-02-2022,Metropol AVM
I103105,C741994,Male,38,Clothing,3,900.24,Debit Card,30-03-2022,Kanyon
I103106,C434304,Male,68,Clothing,2,600.16,Cash,14-02-2022,Istinye Park
I103107,C162874,Female,65,Clothing,4,1200.32,Cash,12-04-2022,Kanyon
I103117,C252134,Male,34,Technology,2,2100.0,Debit Card,23-11-2021,Metrocity
I103120,C319624,Female,18,Shoes,4,2400.68,Debit Card,20-02-2022,Mall of Istanbul
I103121,C121244,Male,45,Souvenir,2,23.46,Debit Card,05-04-2021,Metrocity
I103122,C147199,Female,34,Clothing,4,1200.32,Cash,16-09-2022,Cevahir AVM
I103130,C322893,Male,60,Clothing,5,1500.4,Cash,28-09-2021,Metrocity
I103131,C470346,Female,23,Toys,4,143.36,Cash,22-03-2022,Metrocity
I103132,C285385,Male,62,Books,3,45.45,Credit Card,28-08-2022,Metropol AVM
I103133,C166006,Male,31,Clothing,3,900.24,Debit Card,30-07-2022,Zorlu Center
I103139,C291228,Female,20,Clothing,2,600.16,Cash,31-03-2021,Metrocity
I103142,C104103,Female,50,Toys,3,107.52,Cash,02-04-2021,Emaar Square Mall
I103146,C101405,Female,20,Clothing,1,300.08,Credit Card,23-02-2021,Kanyon
I103152,C119140,Female,18,Cosmetics,3,121.98,Credit Card,31-07-2021,Mall of Istanbul
I103155,C108400,Female,44,Food & Beverage,4,20.92,Credit Card,15-11-2022,Metropol AVM
I103165,C269994,Male,28,Clothing,3,900.24,Debit Card,19-08-2022,Mall of Istanbul
I103166,C360478,Female,37,Books,3,45.45,Credit Card,27-04-2021,Istinye Park
I103170,C126764,Female,54,Technology,3,3150.0,Credit Card,05-02-2023,Cevahir AVM
I103175,C179887,Female,63,Shoes,4,2400.68,Cash,13-09-2022,Mall of Istanbul
I103176,C106546,Male,37,Clothing,4,1200.32,Debit Card,08-03-2023,Metrocity
I103180,C165471,Male,56,Toys,3,107.52,Cash,31-05-2021,Metrocity
I103181,C369352,Male,57,Food & Beverage,5,26.15,Cash,12-12-2021,Metropol AVM
I103183,C134306,Male,55,Clothing,3,900.24,Debit Card,15-02-2022,Kanyon
I103185,C306437,Male,31,Books,1,15.15,Credit Card,24-11-2022,Mall of Istanbul
I103194,C318228,Male,63,Books,5,75.75,Cash,29-01-2021,Mall of Istanbul
I103197,C816259,Male,44,Shoes,4,2400.68,Debit Card,12-07-2022,Emaar Square Mall
I103201,C160144,Female,54,Cosmetics,1,40.66,Credit Card,30-12-2022,Metrocity
I103203,C137699,Female,20,Toys,3,107.52,Cash,04-03-2023,Istinye Park
I103205,C264683,Male,54,Clothing,4,1200.32,Credit Card,15-05-2022,Kanyon
I103207,C171664,Female,58,Clothing,3,900.24,Credit Card,05-11-2022,Metrocity
I103210,C264822,Female,43,Toys,3,107.52,Credit Card,02-12-2021,Kanyon
I103212,C127791,Male,43,Food & Beverage,4,20.92,Cash,15-11-2022,Forum Istanbul
I103214,C299315,Male,49,Food & Beverage,1,5.23,Debit Card,28-06-2022,Kanyon
I103216,C235740,Female,53,Clothing,3,900.24,Cash,18-08-2022,Mall of Istanbul
I103220,C111229,Male,37,Clothing,2,600.16,Cash,17-04-2022,Metropol AVM
I103223,C558987,Female,59,Clothing,3,900.24,Credit Card,24-12-2022,Metrocity
I103229,C245363,Female,44,Food & Beverage,5,26.15,Credit Card,07-10-2021,Mall of Istanbul
I103231,C163227,Male,52,Books,5,75.75,Cash,05-04-2022,Mall of Istanbul
I103232,C384412,Female,30,Clothing,1,300.08,Cash,06-02-2021,Kanyon
I103241,C120560,Female,39,Shoes,4,2400.68,Credit Card,11-01-2021,Istinye Park
I103242,C628808,Female,54,Books,1,15.15,Credit Card,23-12-2022,Kanyon
I103243,C154807,Female,48,Technology,1,1050.0,Debit Card,28-11-2022,Istinye Park
I103248,C202349,Female,21,Toys,2,71.68,Cash,12-03-2022,Kanyon
I103251,C778012,Male,31,Clothing,3,900.24,Credit Card,21-05-2021,Emaar Square Mall
I103253,C322798,Male,30,Cosmetics,4,162.64,Credit Card,14-06-2021,Kanyon
I103254,C937121,Female,64,Shoes,2,1200.34,Credit Card,04-06-2021,Viaport Outlet
I103259,C112842,Female,24,Clothing,3,900.24,Debit Card,27-11-2021,Metrocity
I103261,C791487,Male,23,Toys,3,107.52,Credit Card,22-04-2022,Zorlu Center
I103264,C279394,Male,56,Toys,1,35.84,Credit Card,15-11-2022,Kanyon
I103265,C256916,Female,58,Clothing,5,1500.4,Debit Card,03-04-2022,Mall of Istanbul
I103266,C237274,Male,65,Clothing,5,1500.4,Cash,11-07-2022,Kanyon
I103273,C116129,Male,38,Food & Beverage,4,20.92,Debit Card,13-11-2022,Metropol AVM
I103274,C320675,Male,53,Toys,3,107.52,Cash,28-05-2022,Kanyon
I103276,C254471,Female,67,Toys,1,35.84,Credit Card,02-08-2022,Mall of Istanbul
I103279,C108938,Male,43,Clothing,3,900.24,Cash,13-07-2022,Metrocity
I103282,C431261,Female,58,Souvenir,1,11.73,Cash,13-07-2021,Viaport Outlet
I103289,C266756,Female,65,Clothing,4,1200.32,Credit Card,11-02-2022,Mall of Istanbul
I103290,C291390,Male,32,Clothing,5,1500.4,Credit Card,13-06-2022,Metropol AVM
I103293,C879875,Male,65,Clothing,1,300.08,Debit Card,01-11-2022,Istinye Park
I103297,C204864,Female,28,Clothing,3,900.24,Credit Card,18-05-2022,Kanyon
I103304,C266932,Female,21,Clothing,3,900.24,Cash,04-09-2021,Zorlu Center
I103308,C174685,Female,69,Food & Beverage,3,15.69,Debit Card,07-10-2022,Forum Istanbul
I103313,C334324,Female,64,Shoes,3,1800.51,Debit Card,03-02-2022,Cevahir AVM
I103315,C774142,Female,60,Clothing,3,900.24,Cash,15-02-2021,Zorlu Center
I103316,C422629,Male,48,Cosmetics,3,121.98,Cash,27-05-2021,Cevahir AVM
I103317,C131582,Female,29,Cosmetics,3,121.98,Cash,12-08-2022,Emaar Square Mall
I103319,C695248,Female,27,Toys,3,107.52,Cash,10-08-2021,Forum Istanbul
I103323,C869064,Female,54,Clothing,4,1200.32,Cash,04-11-2021,Forum Istanbul
I103324,C501294,Female,63,Food & Beverage,1,5.23,Cash,06-12-2022,Istinye Park
I103326,C432373,Male,62,Shoes,5,3000.85,Cash,16-09-2022,Mall of Istanbul
I103329,C266617,Male,55,Clothing,2,600.16,Cash,16-05-2021,Metrocity
I103332,C330003,Female,23,Clothing,1,300.08,Debit Card,06-03-2023,Kanyon
I103334,C459974,Female,49,Cosmetics,3,121.98,Cash,05-08-2021,Kanyon
I103337,C148096,Male,28,Cosmetics,3,121.98,Cash,06-12-2022,Kanyon
I103339,C237096,Female,32,Cosmetics,4,162.64,Cash,27-12-2022,Zorlu Center
I103347,C322403,Female,57,Souvenir,1,11.73,Cash,09-10-2021,Kanyon
I103348,C268967,Male,62,Clothing,5,1500.4,Cash,19-07-2021,Istinye Park
I103350,C114408,Male,66,Food & Beverage,1,5.23,Cash,04-09-2022,Kanyon
I103353,C316179,Female,24,Food & Beverage,5,26.15,Cash,14-07-2021,Kanyon
I103357,C117394,Female,66,Cosmetics,2,81.32,Cash,18-03-2021,Istinye Park
I103368,C201379,Male,60,Cosmetics,5,203.3,Cash,01-03-2023,Istinye Park
I103372,C308299,Male,61,Cosmetics,4,162.64,Credit Card,24-10-2022,Istinye Park
I103374,C965439,Female,27,Cosmetics,2,81.32,Cash,01-05-2021,Zorlu Center
I103382,C178576,Female,48,Clothing,2,600.16,Cash,04-05-2021,Metrocity
I103384,C156615,Male,39,Clothing,4,1200.32,Cash,26-04-2021,Cevahir AVM
I103388,C175785,Male,38,Books,3,45.45,Cash,09-01-2022,Mall of Istanbul
I103389,C231964,Male,19,Cosmetics,1,40.66,Cash,09-05-2021,Kanyon
I103393,C192096,Female,39,Shoes,5,3000.85,Cash,30-03-2022,Kanyon
I103399,C293480,Female,34,Books,5,75.75,Cash,19-12-2022,Mall of Istanbul
I103405,C312698,Female,53,Clothing,1,300.08,Credit Card,12-05-2021,Mall of Istanbul
I103408,C171463,Female,23,Clothing,3,900.24,Cash,09-07-2021,Istinye Park
I103415,C192430,Male,64,Cosmetics,1,40.66,Cash,05-08-2022,Forum Istanbul
I103416,C273846,Female,36,Clothing,3,900.24,Credit Card,31-01-2021,Kanyon
I103418,C256529,Male,42,Clothing,1,300.08,Cash,14-01-2021,Mall of Istanbul
I103422,C289279,Female,67,Food & Beverage,1,5.23,Cash,03-05-2021,Emaar Square Mall
I103426,C150060,Male,68,Souvenir,5,58.65,Credit Card,21-05-2021,Kanyon
I103427,C294888,Female,67,Cosmetics,4,162.64,Cash,25-01-2022,Kanyon
I103428,C104382,Male,58,Clothing,3,900.24,Debit Card,05-02-2021,Forum Istanbul
I103432,C326401,Female,54,Clothing,5,1500.4,Credit Card,29-03-2022,Istinye Park
I103433,C745649,Female,56,Clothing,3,900.24,Cash,03-06-2022,Emaar Square Mall
I103434,C293692,Female,19,Clothing,1,300.08,Debit Card,11-05-2021,Mall of Istanbul
I103435,C278238,Female,25,Cosmetics,1,40.66,Cash,06-01-2021,Viaport Outlet
I103437,C789398,Female,32,Cosmetics,1,40.66,Credit Card,06-04-2022,Istinye Park
I103442,C214259,Male,26,Food & Beverage,5,26.15,Cash,12-04-2021,Mall of Istanbul
I103445,C455965,Female,36,Clothing,5,1500.4,Cash,27-07-2021,Mall of Istanbul
I103453,C907292,Male,57,Clothing,5,1500.4,Credit Card,28-01-2022,Mall of Istanbul
I103454,C215908,Female,22,Clothing,5,1500.4,Credit Card,12-07-2022,Mall of Istanbul
I103456,C302720,Female,26,Clothing,5,1500.4,Cash,29-06-2021,Metropol AVM
I103461,C319584,Male,50,Toys,3,107.52,Credit Card,14-06-2022,Metrocity
I103463,C302649,Male,63,Food & Beverage,2,10.46,Credit Card,07-09-2021,Viaport Outlet
I103464,C145092,Male,41,Food & Beverage,4,20.92,Credit Card,18-04-2022,Istinye Park
I103472,C113553,Female,55,Clothing,5,1500.4,Debit Card,14-01-2022,Emaar Square Mall
I103473,C176752,Male,21,Clothing,2,600.16,Cash,07-07-2021,Mall of Istanbul
I103476,C188265,Female,34,Clothing,1,300.08,Cash,22-07-2021,Mall of Istanbul
I103478,C226856,Female,44,Clothing,2,600.16,Cash,20-04-2021,Kanyon
I103482,C152459,Female,62,Clothing,1,300.08,Cash,17-09-2022,Mall of Istanbul
I103488,C116713,Male,31,Food & Beverage,1,5.23,Debit Card,27-08-2021,Mall of Istanbul
I103491,C226416,Female,25,Technology,4,4200.0,Credit Card,24-02-2022,Istinye Park
I103495,C204244,Male,39,Clothing,1,300.08,Cash,25-04-2022,Kanyon
I103496,C259594,Female,41,Clothing,3,900.24,Cash,20-04-2022,Kanyon
I103497,C323386,Female,64,Clothing,5,1500.4,Cash,03-02-2022,Mall of Istanbul
I103498,C846574,Male,63,Technology,2,2100.0,Cash,28-02-2023,Zorlu Center
I103499,C316134,Female,41,Cosmetics,2,81.32,Credit Card,17-03-2022,Mall of Istanbul
I103506,C172937,Female,28,Food & Beverage,1,5.23,Cash,18-09-2021,Mall of Istanbul
I103507,C193027,Female,58,Cosmetics,1,40.66,Cash,03-09-2022,Metrocity
I103509,C156601,Female,43,Toys,3,107.52,Debit Card,26-08-2022,Mall of Istanbul
I103514,C139241,Female,56,Clothing,4,1200.32,Credit Card,09-02-2023,Kanyon
I103520,C319047,Male,38,Toys,1,35.84,Cash,30-12-2021,Viaport Outlet
I103521,C263488,Female,47,Clothing,3,900.24,Debit Card,26-09-2021,Kanyon
I103529,C935333,Female,42,Books,2,30.3,Credit Card,09-12-2021,Mall of Istanbul
I103532,C297564,Male,63,Food & Beverage,5,26.15,Debit Card,13-07-2021,Forum Istanbul
I103534,C566637,Male,25,Clothing,4,1200.32,Credit Card,18-02-2022,Mall of Istanbul
I103535,C265774,Male,48,Food & Beverage,3,15.69,Cash,27-01-2021,Kanyon
I103540,C200986,Female,27,Clothing,4,1200.32,Debit Card,04-02-2023,Istinye Park
I103544,C387360,Male,18,Clothing,3,900.24,Credit Card,07-12-2021,Mall of Istanbul
I103550,C281171,Female,40,Clothing,5,1500.4,Credit Card,14-12-2021,Kanyon
I103555,C726509,Female,60,Cosmetics,2,81.32,Cash,23-05-2021,Cevahir AVM
I103559,C902781,Male,51,Cosmetics,3,121.98,Debit Card,22-02-2022,Metrocity
I103561,C940442,Male,66,Clothing,5,1500.4,Credit Card,08-01-2023,Mall of Istanbul
I103564,C324728,Male,54,Books,3,45.45,Debit Card,07-11-2022,Cevahir AVM
I103565,C250285,Female,49,Shoes,1,600.17,Cash,15-09-2021,Mall of Istanbul
I103570,C202848,Female,35,Cosmetics,1,40.66,Debit Card,14-04-2022,Mall of Istanbul
I103574,C242366,Female,27,Clothing,2,600.16,Cash,14-02-2021,Metrocity
I103577,C873633,Female,37,Toys,5,179.2,Credit Card,24-03-2021,Kanyon
I103579,C161358,Female,19,Technology,2,2100.0,Cash,09-11-2022,Zorlu Center
I103584,C355306,Female,64,Clothing,4,1200.32,Credit Card,23-09-2021,Metrocity
I103588,C818719,Male,26,Books,5,75.75,Cash,26-01-2021,Kanyon
I103590,C950605,Male,19,Clothing,1,300.08,Credit Card,20-01-2023,Istinye Park
I103592,C165338,Male,46,Shoes,2,1200.34,Credit Card,12-04-2021,Metropol AVM
I103593,C563020,Female,65,Food & Beverage,1,5.23,Credit Card,17-12-2022,Metropol AVM
I103594,C190208,Female,35,Cosmetics,5,203.3,Credit Card,30-12-2021,Istinye Park
I103596,C178734,Male,52,Shoes,5,3000.85,Cash,03-08-2021,Kanyon
I103603,C214637,Male,67,Souvenir,3,35.19,Cash,28-09-2021,Istinye Park
I103609,C149771,Female,63,Toys,2,71.68,Credit Card,06-06-2021,Mall of Istanbul
I103611,C148334,Female,36,Clothing,3,900.24,Cash,01-05-2021,Viaport Outlet
I103615,C318503,Female,24,Clothing,2,600.16,Credit Card,13-01-2021,Metropol AVM
I103617,C223384,Male,54,Clothing,1,300.08,Credit Card,22-03-2021,Istinye Park
I103620,C325985,Female,25,Clothing,5,1500.4,Credit Card,28-04-2022,Metropol AVM
I103631,C871510,Male,46,Clothing,1,300.08,Debit Card,14-07-2021,Kanyon
I103636,C318464,Female,67,Clothing,5,1500.4,Cash,18-03-2022,Mall of Istanbul
I103637,C137854,Male,40,Toys,2,71.68,Debit Card,20-01-2023,Emaar Square Mall
I103638,C144772,Male,44,Technology,3,3150.0,Credit Card,17-03-2022,Forum Istanbul
I103639,C460985,Male,19,Shoes,3,1800.51,Credit Card,27-06-2022,Metrocity
I103646,C292460,Female,29,Clothing,3,900.24,Debit Card,24-11-2022,Metropol AVM
I103650,C120373,Male,34,Clothing,1,300.08,Debit Card,23-01-2022,Viaport Outlet
I103654,C247648,Male,45,Clothing,3,900.24,Cash,17-01-2021,Metropol AVM
I103655,C301782,Male,52,Books,3,45.45,Credit Card,01-11-2021,Kanyon
I103656,C352553,Male,32,Clothing,3,900.24,Debit Card,13-01-2022,Kanyon
I103657,C228648,Female,30,Toys,1,35.84,Cash,28-09-2021,Istinye Park
I103658,C191512,Female,51,Clothing,5,1500.4,Credit Card,17-08-2022,Kanyon
I103659,C255660,Female,52,Toys,5,179.2,Cash,03-02-2023,Mall of Istanbul
I103660,C296066,Female,37,Food & Beverage,1,5.23,Debit Card,20-04-2021,Kanyon
I103663,C155404,Male,30,Food & Beverage,4,20.92,Cash,19-07-2022,Istinye Park
I103667,C168454,Female,58,Souvenir,1,11.73,Credit Card,02-02-2021,Kanyon
I103679,C150081,Male,22,Cosmetics,2,81.32,Cash,11-04-2021,Viaport Outlet
I103681,C250959,Female,25,Cosmetics,5,203.3,Cash,21-09-2022,Metrocity
I103686,C231006,Female,22,Clothing,2,600.16,Credit Card,20-10-2022,Forum Istanbul
I103687,C913614,Male,65,Cosmetics,1,40.66,Credit Card,09-02-2023,Forum Istanbul
I103689,C949158,Male,67,Clothing,2,600.16,Credit Card,23-01-2021,Mall of Istanbul
I103691,C537596,Female,47,Clothing,4,1200.32,Credit Card,03-02-2023,Metrocity
I103695,C243421,Male,23,Food & Beverage,3,15.69,Cash,23-12-2022,Kanyon
I103698,C895070,Female,64,Clothing,3,900.24,Debit Card,27-02-2022,Viaport Outlet
I103702,C309052,Female,37,Cosmetics,5,203.3,Debit Card,22-03-2021,Metropol AVM
I103706,C181592,Female,47,Clothing,3,900.24,Credit Card,23-06-2022,Mall of Istanbul
I103713,C270809,Female,20,Clothing,4,1200.32,Credit Card,18-07-2022,Viaport Outlet
